"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"2551","CRISPLD1",-0.696670670847196,5.60484053793695,21.4066881502837,1.01164456124935e-05,"Q9H336","Q9H336","reviewed","CRLD1_HUMAN","Cysteine-rich secretory protein LCCL domain-containing 1 (CocoaCrisp) (Cysteine-rich secretory protein 10) (CRISP-10) (LCCL domain-containing cysteine-rich secretory protein 1) (Trypsin inhibitor Hl)","CRISPLD1 CRISP10 LCRISP1 UNQ342/PRO541","","CRISPLD1","extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; face morphogenesis [GO:0060325]; hematopoietic stem cell homeostasis [GO:0061484]","","SUBCELLULAR LOCATION: Secreted {ECO:0000305}.","ENST00000262207.9 [Q9H336-1];ENST00000517786.1 [Q9H336-2];",0.000585317190526397
"2620","CSTA",2.56913134031248,3.04926750591175,64.7375105838953,1.02902328180431e-12,"P01040","P01040","reviewed","CYTA_HUMAN","Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]","CSTA STF1 STFA","FUNCTION: This is an intracellular thiol proteinase inhibitor. Has an important role in desmosome-mediated cell-cell adhesion in the lower levels of the epidermis. {ECO:0000269|PubMed:21944047}.","CSTA","cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; peptidase inhibitor complex [GO:1904090]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; protease binding [GO:0002020]; cell-cell adhesion [GO:0098609]; keratinocyte differentiation [GO:0030216]; negative regulation of peptidase activity [GO:0010466]; negative regulation of proteolysis [GO:0045861]; peptide cross-linking [GO:0018149]","G5E9A7; P28799; P04792; Q9Y3C5; Q7Z699; O76024; P00784","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21944047}.","ENST00000264474.4;",4.1769795278964e-10
"2649","CTH",1.64255974956413,3.25874364315793,39.7389463970019,6.03537832550124e-09,"P32929","P32929","reviewed","CGL_HUMAN","Cystathionine gamma-lyase (CGL) (CSE) (EC 4.4.1.1) (Cysteine desulfhydrase) (Cysteine-protein sulfhydrase) (Gamma-cystathionase) (Homocysteine desulfhydrase) (EC 4.4.1.2)","CTH","FUNCTION: Catalyzes the last step in the trans-sulfuration pathway from L-methionine to L-cysteine in a pyridoxal-5'-phosphate (PLP)-dependent manner, which consists on cleaving the L,L-cystathionine molecule into L-cysteine, ammonia and 2-oxobutanoate (PubMed:10212249, PubMed:19261609, PubMed:19961860, PubMed:18476726). Part of the L-cysteine derived from the trans-sulfuration pathway is utilized for biosynthesis of the ubiquitous antioxidant glutathione (PubMed:18476726). Besides its role in the conversion of L-cystathionine into L-cysteine, it utilizes L-cysteine and L-homocysteine as substrates (at much lower rates than L,L-cystathionine) to produce the endogenous gaseous signaling molecule hydrogen sulfide (H2S) (PubMed:10212249, PubMed:19261609, PubMed:19961860, PubMed:19019829). In vitro, it converts two L-cysteine molecules into lanthionine and H2S, also two L-homocysteine molecules to homolanthionine and H2S, which can be particularly relevant under conditions of severe hyperhomocysteinemia (which is a risk factor for cardiovascular disease, diabetes, and Alzheimer's disease) (PubMed:19261609). Lanthionine and homolanthionine are structural homologs of L,L-cystathionine that differ by the absence or presence of an extra methylene group, respectively (PubMed:19261609). Acts as a cysteine-protein sulfhydrase by mediating sulfhydration of target proteins: sulfhydration consists of converting -SH groups into -SSH on specific cysteine residues of target proteins such as GAPDH, PTPN1 and NF-kappa-B subunit RELA, thereby regulating their function (PubMed:22169477). By generating the gasotransmitter H2S, it participates in a number of physiological processes such as vasodilation, bone protection, and inflammation (Probable) (PubMed:29254196). Plays an essential role in myogenesis by contributing to the biogenesis of H2S in skeletal muscle tissue (By similarity). Can also accept homoserine as substrate (By similarity). Catalyzes the elimination of selenocystathionine (which can be derived from the diet) to yield selenocysteine, ammonia and 2-oxobutanoate (By similarity). {ECO:0000250|UniProtKB:P18757, ECO:0000250|UniProtKB:Q8VCN5, ECO:0000269|PubMed:10212249, ECO:0000269|PubMed:18476726, ECO:0000269|PubMed:19019829, ECO:0000269|PubMed:19261609, ECO:0000269|PubMed:19961860, ECO:0000269|PubMed:22169477, ECO:0000269|PubMed:29254196, ECO:0000303|PubMed:18476726, ECO:0000305|PubMed:18476726, ECO:0000305|PubMed:19019829}.","CTH","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; calmodulin binding [GO:0005516]; carbon-sulfur lyase activity [GO:0016846]; cystathionine gamma-lyase activity [GO:0004123]; homocysteine desulfhydrase activity [GO:0047982]; identical protein binding [GO:0042802]; L-cysteine desulfhydrase activity [GO:0080146]; L-cystine L-cysteine-lyase (deaminating) [GO:0044540]; pyridoxal phosphate binding [GO:0030170]; selenocystathionine gamma-lyase activity [GO:0098606]; cellular response to leukemia inhibitory factor [GO:1990830]; cysteine biosynthetic process [GO:0019344]; cysteine biosynthetic process via cystathionine [GO:0019343]; cysteine metabolic process [GO:0006534]; endoplasmic reticulum unfolded protein response [GO:0030968]; hydrogen sulfide biosynthetic process [GO:0070814]; lipid metabolic process [GO:0006629]; negative regulation of apoptotic signaling pathway [GO:2001234]; positive regulation of aortic smooth muscle cell differentiation [GO:1904831]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein homotetramerization [GO:0051289]; protein sulfhydration [GO:0044524]; protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine [GO:0018272]; transsulfuration [GO:0019346]","P32929; Q96NT3; Q96NT3-2; Q96HA8; Q6P9E2","SUBCELLULAR LOCATION: Cytoplasm.","ENST00000346806.2 [P32929-2];ENST00000370938.8 [P32929-1];ENST00000411986.6 [P32929-3];",1.00878511567096e-06
"2660","CTPS1",0.530621245603817,6.49501398176659,23.807324568308,3.58399939449433e-06,"A0A3B3IRQ8","A0A3B3IRQ8","unreviewed","A0A3B3IRQ8_HUMAN","CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)","CTPS1","FUNCTION: Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. {ECO:0000256|RuleBase:RU810713}.","CTPS1","ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]","","","ENST00000648914.1;",0.000232788779389922
"2674","CTSV",-0.758882566724526,5.77398490663912,23.8878475902473,3.83461965073611e-06,"A0A7P0T891","A0A7P0T891","unreviewed","A0A7P0T891_HUMAN","Cathepsin L2","CTSV","","CTSV","","","","ENST00000680787.1;ENST00000681330.1;",0.000245064777417632
"2704","CXADR",-0.561774644789249,7.22894022716033,35.9354799182305,2.58285388125086e-08,"P78310","P78310","reviewed","CXAR_HUMAN","Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)","CXADR CAR","FUNCTION: Component of the epithelial apical junction complex that may function as a homophilic cell adhesion molecule and is essential for tight junction integrity. Also involved in transepithelial migration of leukocytes through adhesive interactions with JAML a transmembrane protein of the plasma membrane of leukocytes. The interaction between both receptors also mediates the activation of gamma-delta T-cells, a subpopulation of T-cells residing in epithelia and involved in tissue homeostasis and repair. Upon epithelial CXADR-binding, JAML induces downstream cell signaling events in gamma-delta T-cells through PI3-kinase and MAP kinases. It results in proliferation and production of cytokines and growth factors by T-cells that in turn stimulate epithelial tissues repair. {ECO:0000269|PubMed:11734628, ECO:0000269|PubMed:12297051, ECO:0000269|PubMed:15800062, ECO:0000269|PubMed:19064666, ECO:0000269|PubMed:9096397}.; FUNCTION: (Microbial infection) Acts as a receptor for adenovirus type C. {ECO:0000269|PubMed:10567268, ECO:0000269|PubMed:10666333, ECO:0000269|PubMed:12297051, ECO:0000269|PubMed:9733828}.; FUNCTION: (Microbial infection) Acts as a receptor for Coxsackievirus B1 to B6. {ECO:0000269|PubMed:10814575, ECO:0000269|PubMed:14978041}.","CXADR","acrosomal vesicle [GO:0001669]; adherens junction [GO:0005912]; apicolateral plasma membrane [GO:0016327]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cell body [GO:0044297]; cell junction [GO:0030054]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; filopodium [GO:0030175]; growth cone [GO:0030426]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]; membrane raft [GO:0045121]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; beta-catenin binding [GO:0008013]; cell adhesion molecule binding [GO:0050839]; cell adhesive protein binding involved in AV node cell-bundle of His cell communication [GO:0086082]; connexin binding [GO:0071253]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; PDZ domain binding [GO:0030165]; signaling receptor binding [GO:0005102]; virus receptor activity [GO:0001618]; actin cytoskeleton reorganization [GO:0031532]; AV node cell to bundle of His cell communication [GO:0086067]; AV node cell-bundle of His cell adhesion involved in cell communication [GO:0086072]; cardiac muscle cell development [GO:0055013]; cardiac muscle cell proliferation [GO:0060038]; cell-cell junction organization [GO:0045216]; defense response to virus [GO:0051607]; epithelial structure maintenance [GO:0010669]; gamma-delta T cell activation [GO:0046629]; germ cell migration [GO:0008354]; heart development [GO:0007507]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homotypic cell-cell adhesion [GO:0034109]; mitochondrion organization [GO:0007005]; negative regulation of cardiac muscle cell proliferation [GO:0060044]; neutrophil chemotaxis [GO:0030593]; regulation of AV node cell action potential [GO:0098904]; transepithelial transport [GO:0070633]","Q86W74-2; Q92520; P21145","SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:15533241}; Single-pass type I membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:11316797, ECO:0000269|PubMed:12021372, ECO:0000269|PubMed:12297051, ECO:0000269|PubMed:15364909}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000269|PubMed:11734628, ECO:0000269|PubMed:12297051}. Cell junction, adherens junction {ECO:0000269|PubMed:12297051}. Note=In epithelial cells localizes to the apical junction complex composed of tight and adherens junctions (PubMed:12297051). In airway epithelial cells localized to basolateral membrane but not to apical surface (PubMed:11316797). {ECO:0000269|PubMed:11316797, ECO:0000269|PubMed:12297051}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:14978041}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:14978041}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:14978041}.","ENST00000284878.12 [P78310-1];ENST00000356275.10 [P78310-3];ENST00000400165.5 [P78310-4];ENST00000400166.5 [P78310-5];ENST00000400169.1 [P78310-6];",3.68688251837531e-06
"2706","CXCL14",-3.21892068010804,8.1345843318245,56.4431850281796,3.50290483363551e-09,"O95715","O95715","reviewed","CXL14_HUMAN","C-X-C motif chemokine 14 (Chemokine BRAK) (MIP-2G) (Small-inducible cytokine B14)","CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273","FUNCTION: Potent chemoattractant for neutrophils, and weaker for dendritic cells. Not chemotactic for T-cells, B-cells, monocytes, natural killer cells or granulocytes. Does not inhibit proliferation of myeloid progenitors in colony formation assays. {ECO:0000269|PubMed:10049774, ECO:0000269|PubMed:10946286}.","CXCL14","extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; chemokine activity [GO:0008009]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell-cell signaling [GO:0007267]; chemotaxis [GO:0006935]; killing of cells of another organism [GO:0031640]; signal transduction [GO:0007165]","O00585; Q9Y258; P13501; O14625; P48061; Q07325; P02776; Q8IYF3; P36406","SUBCELLULAR LOCATION: Secreted.","ENST00000337225.5;",6.46252895533736e-07
"2805","DCAF10",0.589365866200671,5.20032960930218,18.0843522950931,4.4232199308829e-05,"Q5QP82","Q5QP82","reviewed","DCA10_HUMAN","DDB1- and CUL4-associated factor 10 (WD repeat-containing protein 32)","DCAF10 WDR32","FUNCTION: May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex. {ECO:0000269|PubMed:16949367}.","DCAF10","Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; nucleoplasm [GO:0005654]; protein ubiquitination [GO:0016567]","Q969G2; O60260-5","","ENST00000377724.8 [Q5QP82-1];",0.00201458041725923
"2810","DCAF13",0.389155214233451,7.12982338851601,17.7407934694635,5.16656825348979e-05,"B3KME9","B3KME9","unreviewed","B3KME9_HUMAN","DDB1- and CUL4-associated factor 13 (cDNA FLJ10831 fis, clone NT2RP4001148, highly similar to Homo sapiens WD repeats and SOF1 domain containing (WDSOF1), mRNA)","DCAF13","","DCAF13","cell junction [GO:0030054]; centrosome [GO:0005813]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]","","","ENST00000519682.5;",0.00230679015445768
"2822","DCBLD2",-0.457671947501806,9.47889112725762,29.6583515471664,3.12352048407216e-07,"Q96PD2","Q96PD2","reviewed","DCBD2_HUMAN","Discoidin, CUB and LCCL domain-containing protein 2 (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) (Endothelial and smooth muscle cell-derived neuropilin-like protein)","DCBLD2 CLCP1 ESDN","","DCBLD2","cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; signaling receptor activity [GO:0038023]; intracellular receptor signaling pathway [GO:0030522]; negative regulation of cell growth [GO:0030308]; wound healing [GO:0042060]","P46109; Q8TB36; Q13021; Q5TF39; Q9H6H4; Q8TBB6; Q9NPL8; O60636","SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11973641}; Single-pass type I membrane protein {ECO:0000269|PubMed:11973641}.","ENST00000326840.11 [Q96PD2-1];ENST00000326857.9 [Q96PD2-2];",3.06952595912136e-05
"2824","DCDC2C",3.63615100896984,1.19803291151585,29.8649534193091,2.87182746875581e-07,"A8MYV0","A8MYV0","reviewed","DCD2C_HUMAN","Doublecortin domain-containing protein 2C","DCDC2C","","DCDC2C","cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]; sperm flagellum [GO:0036126]; intracellular signal transduction [GO:0035556]","","SUBCELLULAR LOCATION: Cell projection, cilium, flagellum {ECO:0000269|PubMed:28395323}. Cytoplasm {ECO:0000269|PubMed:28395323}. Note=Detected along the length of the sperm flagellum and in the cytoplasm of the germ cells. {ECO:0000269|PubMed:28395323}.","ENST00000399143.9;",2.89492051438086e-05
"2854","DDAH2",-0.589156327017887,7.18051110972473,22.6329795803902,6.47591136096397e-06,"O95865","O95865","reviewed","DDAH2_HUMAN","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 (DDAH-2) (Dimethylarginine dimethylaminohydrolase 2) (EC 3.5.3.18) (DDAHII) (Dimethylargininase-2) (Protein G6a) (S-phase protein)","DDAH2 DDAH G6A NG30","FUNCTION: Hydrolyzes N(G),N(G)-dimethyl-L-arginine (ADMA) and N(G)-monomethyl-L-arginine (MMA) which act as inhibitors of NOS. Has therefore a role in the regulation of nitric oxide generation. {ECO:0000269|PubMed:10493931}.","DDAH2","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; amino acid binding [GO:0016597]; catalytic activity [GO:0003824]; dimethylargininase activity [GO:0016403]; arginine catabolic process [GO:0006527]; arginine metabolic process [GO:0006525]; citrulline metabolic process [GO:0000052]; negative regulation of apoptotic process [GO:0043066]; nitric oxide biosynthetic process [GO:0006809]; nitric oxide mediated signal transduction [GO:0007263]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; regulation of nitric-oxide synthase activity [GO:0050999]","Q08043; Q9NW38; Q86VF2-5; Q86UR1-2; O43741; Q15645; PRO_0000037314 [P0C6X7]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21898353}. Mitochondrion {ECO:0000269|PubMed:21898353}. Note=Translocates from cytosol to mitochondrion upon IL-1beta stimulation in chondrocytes.","ENST00000375787.6;ENST00000375789.7;ENST00000375792.7;ENST00000383409.6;ENST00000400062.5;ENST00000400063.7;ENST00000411456.6;ENST00000413532.5;ENST00000413655.5;ENST00000414455.5;ENST00000416410.6;ENST00000424790.5;ENST00000426149.5;ENST00000427126.5;ENST00000430482.5;ENST00000434464.6;ENST00000436437.2;ENST00000437889.6;ENST00000443533.5;ENST00000444699.5;ENST00000447101.6;ENST00000451411.5;ENST00000454138.6;",0.000388475222622735
"2861","DDIT3",1.15886115087741,3.12485410257767,18.7630136167176,3.25956384777876e-05,"P0DPQ6","P0DPQ6","reviewed","DT3UO_HUMAN","DDIT3 upstream open reading frame protein (Alternative DDIT3 protein) (AltDDIT3)","DDIT3","FUNCTION: [Isoform AltDDIT3]: Product of the upstream open reading frame (uORF) of DDIT3/CHOP that is specifically produced in absence of stress, thereby preventing translation of downstream stress effector DDIT3/CHOP. {ECO:0000250|UniProtKB:A0A2R8VHR8}.","DDIT3","cytoplasm [GO:0005737]; nucleus [GO:0005634]","","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29083303}. Cytoplasm {ECO:0000269|PubMed:29083303}.","",0.00157005001495471
"2862","DDIT4",2.57479401791634,5.52494562408709,212.102182113026,1.77782234651113e-22,"Q9NX09","Q9NX09","reviewed","DDIT4_HUMAN","DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)","DDIT4 REDD1 RTP801","FUNCTION: Regulates cell growth, proliferation and survival via inhibition of the activity of the mammalian target of rapamycin complex 1 (mTORC1). Inhibition of mTORC1 is mediated by a pathway that involves DDIT4/REDD1, AKT1, the TSC1-TSC2 complex and the GTPase RHEB. Plays an important role in responses to cellular energy levels and cellular stress, including responses to hypoxia and DNA damage. Regulates p53/TP53-mediated apoptosis in response to DNA damage via its effect on mTORC1 activity. Its role in the response to hypoxia depends on the cell type; it mediates mTORC1 inhibition in fibroblasts and thymocytes, but not in hepatocytes (By similarity). Required for mTORC1-mediated defense against viral protein synthesis and virus replication (By similarity). Inhibits neuronal differentiation and neurite outgrowth mediated by NGF via its effect on mTORC1 activity. Required for normal neuron migration during embryonic brain development. Plays a role in neuronal cell death. {ECO:0000250, ECO:0000269|PubMed:15545625, ECO:0000269|PubMed:15632201, ECO:0000269|PubMed:15988001, ECO:0000269|PubMed:17005863, ECO:0000269|PubMed:17379067, ECO:0000269|PubMed:19557001, ECO:0000269|PubMed:20166753, ECO:0000269|PubMed:21460850}.","DDIT4","cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; 14-3-3 protein binding [GO:0071889]; apoptotic process [GO:0006915]; brain development [GO:0007420]; cellular response to dexamethasone stimulus [GO:0071549]; defense response to virus [GO:0051607]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of glycolytic process [GO:0045820]; negative regulation of intracellular signal transduction [GO:1902532]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of TOR signaling [GO:0032007]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neurotrophin TRK receptor signaling pathway [GO:0048011]; positive regulation of neuron death [GO:1901216]; protein-containing complex disassembly [GO:0032984]; reactive oxygen species metabolic process [GO:0072593]; regulation of TOR signaling [GO:0032006]; response to hypoxia [GO:0001666]","Q3SYB3; Q14145; P57682; Q9Y483-4; P16284; Q6P1K2; P08195-4; P61086; P40337-2; P58304; Q96MN9-2","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Cytoplasm, cytosol {ECO:0000269|PubMed:12453409}.","ENST00000307365.4;ENST00000491934.3;",5.79451563472862e-19
"2866","DDR2",1.15072459749324,5.76588470549088,105.174057548867,9.14239326326727e-18,"Q16832","Q16832","reviewed","DDR2_HUMAN","Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)","DDR2 NTRKR3 TKT TYRO10","FUNCTION: Tyrosine kinase involved in the regulation of tissues remodeling (PubMed:30449416). It functions as cell surface receptor for fibrillar collagen and regulates cell differentiation, remodeling of the extracellular matrix, cell migration and cell proliferation. Required for normal bone development. Regulates osteoblast differentiation and chondrocyte maturation via a signaling pathway that involves MAP kinases and leads to the activation of the transcription factor RUNX2. Regulates remodeling of the extracellular matrix by up-regulation of the collagenases MMP1, MMP2 and MMP13, and thereby facilitates cell migration and tumor cell invasion. Promotes fibroblast migration and proliferation, and thereby contributes to cutaneous wound healing. {ECO:0000269|PubMed:16186104, ECO:0000269|PubMed:16186108, ECO:0000269|PubMed:17665456, ECO:0000269|PubMed:18201965, ECO:0000269|PubMed:20004161, ECO:0000269|PubMed:20564243, ECO:0000269|PubMed:20734453, ECO:0000269|PubMed:30449416, ECO:0000269|PubMed:9659899}.","DDR2","actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; collagen binding [GO:0005518]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; biomineral tissue development [GO:0031214]; cell adhesion [GO:0007155]; cellular response to angiotensin [GO:1904385]; cellular response to hypoxia [GO:0071456]; cellular response to transforming growth factor beta stimulus [GO:0071560]; chondrocyte proliferation [GO:0035988]; collagen fibril organization [GO:0030199]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; endochondral bone growth [GO:0003416]; negative regulation of apoptotic process [GO:0043066]; negative regulation of hydrogen peroxide-mediated programmed cell death [GO:1901299]; negative regulation of kinase activity [GO:0033673]; negative regulation of necrotic cell death [GO:0060547]; ossification [GO:0001503]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of hepatic stellate cell activation [GO:2000491]; positive regulation of hepatic stellate cell proliferation [GO:1904899]; positive regulation of kinase activity [GO:0033674]; positive regulation of neuron death [GO:1901216]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; positive regulation of wound healing [GO:0090303]; protein autophosphorylation [GO:0046777]; regulation of bone mineralization [GO:0030500]; regulation of extracellular matrix disassembly [GO:0010715]; regulation of tissue remodeling [GO:0034103]; response to muscle stretch [GO:0035994]; signal transduction [GO:0007165]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","Q16543; P13942; Q08345; P08238; Q16288","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18201965, ECO:0000269|PubMed:20223752, ECO:0000269|PubMed:9659899}; Single-pass type I membrane protein {ECO:0000269|PubMed:18201965, ECO:0000269|PubMed:20223752, ECO:0000269|PubMed:9659899}.","ENST00000367921.8;ENST00000367922.7;ENST00000446985.6;",6.62180157986869e-15
"2874","DDX18",0.371783241559526,8.60909169425461,16.2325576950264,0.000102857723594797,"Q9NVP1","Q9NVP1","reviewed","DDX18_HUMAN","ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb)","DDX18 cPERP-D","FUNCTION: Probable RNA-dependent helicase.","DDX18","chromosome [GO:0005694]; membrane [GO:0016020]; nucleolus [GO:0005730]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]","","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:16963496}. Chromosome {ECO:0000269|PubMed:20813266}.","ENST00000263239.7;",0.0039989774207154
