"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"1614","CBS",0.853089550123161,4.43652789873355,27.107275472358,8.91814826807775e-07,"P35520","P35520","reviewed","CBS_HUMAN","Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)","CBS","FUNCTION: Hydro-lyase catalyzing the first step of the transsulfuration pathway, where the hydroxyl group of L-serine is displaced by L-homocysteine in a beta-replacement reaction to form L-cystathionine, the precursor of L-cysteine. This catabolic route allows the elimination of L-methionine and the toxic metabolite L-homocysteine (PubMed:23981774, PubMed:20506325, PubMed:23974653). Also involved in the production of hydrogen sulfide, a gasotransmitter with signaling and cytoprotective effects on neurons (By similarity). {ECO:0000250|UniProtKB:P32232, ECO:0000269|PubMed:20506325, ECO:0000269|PubMed:23974653, ECO:0000269|PubMed:23981774}.","CBS","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; carbon monoxide binding [GO:0070025]; cystathionine beta-synthase activity [GO:0004122]; enzyme binding [GO:0019899]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; ion binding [GO:0043167]; metal ion binding [GO:0046872]; modified amino acid binding [GO:0072341]; nitric oxide binding [GO:0070026]; nitrite reductase (NO-forming) activity [GO:0050421]; oxygen binding [GO:0019825]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; S-adenosyl-L-methionine binding [GO:1904047]; ubiquitin protein ligase binding [GO:0031625]; blood vessel diameter maintenance [GO:0097746]; blood vessel remodeling [GO:0001974]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; cellular response to hypoxia [GO:0071456]; cerebellum morphogenesis [GO:0021587]; cysteine biosynthetic process [GO:0019344]; cysteine biosynthetic process from serine [GO:0006535]; cysteine biosynthetic process via cystathionine [GO:0019343]; DNA protection [GO:0042262]; endochondral ossification [GO:0001958]; homocysteine catabolic process [GO:0043418]; homocysteine metabolic process [GO:0050667]; hydrogen sulfide biosynthetic process [GO:0070814]; L-cysteine catabolic process [GO:0019448]; L-serine catabolic process [GO:0006565]; L-serine metabolic process [GO:0006563]; maternal process involved in female pregnancy [GO:0060135]; negative regulation of apoptotic process [GO:0043066]; regulation of JUN kinase activity [GO:0043506]; regulation of nitric oxide mediated signal transduction [GO:0010749]; response to folic acid [GO:0051593]; superoxide metabolic process [GO:0006801]; transsulfuration [GO:0019346]","Q9UQM7; P35520; P35222; Q15438; Q08426; O75344; P51116; P06241; P22466; P42858; Q92993-2; O75928-2; Q13526; P17612; P54619; P25786; P57075; Q7KZS0; Q9UJ78-2","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17087506, ECO:0000269|PubMed:23981774}. Nucleus {ECO:0000269|PubMed:17087506}.","ENST00000352178.9 [P35520-1];ENST00000359624.7 [P35520-1];ENST00000398158.5 [P35520-1];ENST00000398165.8 [P35520-1];",7.26680448043869e-05
"1649","CCDC122",1.15967300441504,2.85832888810469,13.7381519604324,0.000329428234914954,"Q5T0U0","Q5T0U0","reviewed","CC122_HUMAN","Coiled-coil domain-containing protein 122","CCDC122","","CCDC122","","","","ENST00000444614.8 [Q5T0U0-1];",0.00989600393547902
"1662","CCDC148",1.47817207965452,2.68184120874668,20.4205332239009,1.55979514166586e-05,"Q8NFR7","Q8NFR7","reviewed","CC148_HUMAN","Coiled-coil domain-containing protein 148","CCDC148","","CCDC148","","P21673; Q8N6Y0","","ENST00000283233.10 [Q8NFR7-1];ENST00000409889.1 [Q8NFR7-3];",0.00085443568040385
"1697","CCDC50",0.583140306232762,7.55278438093659,39.8015292409453,5.89468912495733e-09,"Q8IVM0","Q8IVM0","reviewed","CCD50_HUMAN","Coiled-coil domain-containing protein 50 (Protein Ymer)","CCDC50 C3orf6","FUNCTION: Involved in EGFR signaling. {ECO:0000269|PubMed:15314609}.","CCDC50","cytoplasm [GO:0005737]; cytosol [GO:0005829]; ubiquitin protein ligase binding [GO:0031625]; sensory perception of sound [GO:0007605]","Q96B67; Q6GQQ9; Q13546; O76064; Q99961; P0CG47","SUBCELLULAR LOCATION: Cytoplasm. Note=Associated with microtubules of the cytoskeleton and mitotic apparatus. {ECO:0000250}.","ENST00000392455.9 [Q8IVM0-2];ENST00000392456.4 [Q8IVM0-1];",9.93763280410909e-07
"1751","CCN1",0.707220992530442,7.98812337830494,20.40133725255,5.33967055062451e-05,"O00622","O00622","reviewed","CCN1_HUMAN","CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein CYR61) (Protein GIG1)","CCN1 CYR61 GIG1 IGFBP10","FUNCTION: Promotes cell proliferation, chemotaxis, angiogenesis and cell adhesion. Appears to play a role in wound healing by up-regulating, in skin fibroblasts, the expression of a number of genes involved in angiogenesis, inflammation and matrix remodeling including VEGA-A, VEGA-C, MMP1, MMP3, TIMP1, uPA, PAI-1 and integrins alpha-3 and alpha-5. CCN1-mediated gene regulation is dependent on heparin-binding. Down-regulates the expression of alpha-1 and alpha-2 subunits of collagen type-1. Promotes cell adhesion and adhesive signaling through integrin alpha-6/beta-1, cell migration through integrin alpha-v/beta-5 and cell proliferation through integrin alpha-v/beta-3. {ECO:0000269|PubMed:11584015}.","CCN1","collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular matrix binding [GO:0050840]; growth factor binding [GO:0019838]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; apoptotic process involved in heart morphogenesis [GO:0003278]; atrial septum morphogenesis [GO:0060413]; atrioventricular valve morphogenesis [GO:0003181]; cell adhesion [GO:0007155]; chemotaxis [GO:0006935]; chondroblast differentiation [GO:0060591]; chorio-allantoic fusion [GO:0060710]; extracellular matrix organization [GO:0030198]; intussusceptive angiogenesis [GO:0002041]; labyrinthine layer blood vessel development [GO:0060716]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; osteoblast differentiation [GO:0001649]; positive regulation of apoptotic process [GO:0043065]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cartilage development [GO:0061036]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of ceramide biosynthetic process [GO:2000304]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of osteoblast proliferation [GO:0033690]; positive regulation of phospholipase activity [GO:0010518]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; reactive oxygen species metabolic process [GO:0072593]; regulation of ERK1 and ERK2 cascade [GO:0070372]; signal transduction [GO:0007165]; ventricular septum development [GO:0003281]; wound healing, spreading of cells [GO:0044319]","O60906; Q9UHD9","SUBCELLULAR LOCATION: Secreted.","ENST00000451137.7;",0.00237324084745484
"1763","CCND2",0.927723675673322,8.8328750431313,115.642522561413,6.46799439294018e-19,"P30279","P30279","reviewed","CCND2_HUMAN","G1/S-specific cyclin-D2","CCND2","FUNCTION: Regulatory component of the cyclin D2-CDK4 (DC) complex that phosphorylates and inhibits members of the retinoblastoma (RB) protein family including RB1 and regulates the cell-cycle during G(1)/S transition (PubMed:8114739, PubMed:18827403). Phosphorylation of RB1 allows dissociation of the transcription factor E2F from the RB/E2F complex and the subsequent transcription of E2F target genes which are responsible for the progression through the G(1) phase (PubMed:8114739, PubMed:18827403). Hypophosphorylates RB1 in early G(1) phase (PubMed:8114739, PubMed:18827403). Cyclin D-CDK4 complexes are major integrators of various mitogenenic and antimitogenic signals (PubMed:8114739, PubMed:18827403). {ECO:0000269|PubMed:18827403, ECO:0000269|PubMed:8114739}.","CCND2","chromatin [GO:0000785]; cyclin D2-CDK4 complex [GO:0097129]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; adult locomotory behavior [GO:0008344]; cell division [GO:0051301]; cellular response to X-ray [GO:0071481]; G1/S transition of mitotic cell cycle [GO:0000082]; long-term memory [GO:0007616]; mitotic cell cycle phase transition [GO:0044772]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]","P11802; Q00535; P38936; P46527","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18827403}. Cytoplasm {ECO:0000269|PubMed:18827403}. Nucleus membrane {ECO:0000269|PubMed:18827403}. Note=Cyclin D-CDK4 complexes accumulate at the nuclear membrane and are then translocated into the nucleus through interaction with KIP/CIP family members. {ECO:0000269|PubMed:18827403}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:17873913}.","ENST00000261254.8 [P30279-1];ENST00000676279.1 [P30279-1];ENST00000676411.1 [P30279-1];",6.3244049174169e-16
"1825","CD44",0.537508720216196,6.30172839052638,20.4849824126309,1.51608924190045e-05,"P16070","P16070","reviewed","CD44_HUMAN","CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)","CD44 LHR MDU2 MDU3 MIC4","FUNCTION: Cell-surface receptor that plays a role in cell-cell interactions, cell adhesion and migration, helping them to sense and respond to changes in the tissue microenvironment (PubMed:16541107, PubMed:19703720, PubMed:22726066). Participates thereby in a wide variety of cellular functions including the activation, recirculation and homing of T-lymphocytes, hematopoiesis, inflammation and response to bacterial infection (PubMed:7528188). Engages, through its ectodomain, extracellular matrix components such as hyaluronan/HA, collagen, growth factors, cytokines or proteases and serves as a platform for signal transduction by assembling, via its cytoplasmic domain, protein complexes containing receptor kinases and membrane proteases (PubMed:18757307, PubMed:23589287). Such effectors include PKN2, the RhoGTPases RAC1 and RHOA, Rho-kinases and phospholipase C that coordinate signaling pathways promoting calcium mobilization and actin-mediated cytoskeleton reorganization essential for cell migration and adhesion (PubMed:15123640). {ECO:0000269|PubMed:15123640, ECO:0000269|PubMed:16541107, ECO:0000269|PubMed:18757307, ECO:0000269|PubMed:19703720, ECO:0000269|PubMed:22726066, ECO:0000269|PubMed:23589287, ECO:0000269|PubMed:7528188}.","CD44","apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell projection [GO:0042995]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; lamellipodium membrane [GO:0031258]; macrophage migration inhibitory factor receptor complex [GO:0035692]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; collagen binding [GO:0005518]; hyaluronic acid binding [GO:0005540]; transmembrane signaling receptor activity [GO:0004888]; cartilage development [GO:0051216]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cytokine-mediated signaling pathway [GO:0019221]; hyaluronan catabolic process [GO:0030214]; inflammatory response [GO:0006954]; monocyte aggregation [GO:0070487]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of monocyte aggregation [GO:1900625]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; regulation of lamellipodium morphogenesis [GO:2000392]; T cell activation [GO:0042110]; wound healing, spreading of cells [GO:0044319]","P04233; P26038; Q9UPY5; P18011","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726066, ECO:0000269|PubMed:23589287}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, microvillus {ECO:0000250|UniProtKB:P15379}. Note=Colocalizes with actin in membrane protrusions at wounding edges. Co-localizes with RDX, EZR and MSN in microvilli. Localizes to cholesterol-rich membrane-bound lipid raft domains. {ECO:0000250|UniProtKB:P15379, ECO:0000269|PubMed:23589287}.","ENST00000263398.11 [P16070-12];ENST00000278386.10 [P16070-19];ENST00000352818.8 [P16070-18];ENST00000415148.6 [P16070-4];ENST00000428726.8 [P16070-1];ENST00000433892.6 [P16070-10];ENST00000434472.6 [P16070-11];",0.00083753223770071
"1829","CD55",1.20606597788455,4.2167091785643,39.9824563375888,5.50646067089276e-09,"P08174","P08174","reviewed","DAF_HUMAN","Complement decay-accelerating factor (CD antigen CD55)","CD55 CR DAF","FUNCTION: This protein recognizes C4b and C3b fragments that condense with cell-surface hydroxyl or amino groups when nascent C4b and C3b are locally generated during C4 and c3 activation. Interaction of daf with cell-associated C4b and C3b polypeptides interferes with their ability to catalyze the conversion of C2 and factor B to enzymatically active C2a and Bb and thereby prevents the formation of C4b2a and C3bBb, the amplification convertases of the complement cascade (PubMed:7525274). Inhibits complement activation by destabilizing and preventing the formation of C3 and C5 convertases, which prevents complement damage (PubMed:28657829). {ECO:0000269|PubMed:7525274, ECO:0000305|PubMed:28657829}.; FUNCTION: (Microbial infection) Acts as a receptor for Coxsackievirus A21, coxsackieviruses B1, B3 and B5. {ECO:0000269|PubMed:9151867}.; FUNCTION: (Microbial infection) Acts as a receptor for Human enterovirus 70 and D68 (Probable). {ECO:0000269|PubMed:8764022}.; FUNCTION: (Microbial infection) Acts as a receptor for Human echoviruses 6, 7, 11, 12, 20 and 21. {ECO:0000269|PubMed:7525274, ECO:0000305|PubMed:12409401}.","CD55","anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule membrane [GO:0101003]; Golgi membrane [GO:0000139]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; transport vesicle [GO:0030133]; lipid binding [GO:0008289]; virus receptor activity [GO:0001618]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; negative regulation of complement activation [GO:0045916]; negative regulation of complement activation, classical pathway [GO:0045959]; positive regulation of CD4-positive, alpha-beta T cell activation [GO:2000516]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of T cell cytokine production [GO:0002726]; regulation of complement activation [GO:0030449]; regulation of complement-dependent cytotoxicity [GO:1903659]; regulation of lipopolysaccharide-mediated signaling pathway [GO:0031664]; respiratory burst [GO:0045730]; T cell mediated immunity [GO:0002456]","P48960","SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Lipid-anchor, GPI-anchor.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 6]: Cell membrane {ECO:0000305|PubMed:16503113}; Lipid-anchor, GPI-anchor {ECO:0000305|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 7]: Cell membrane {ECO:0000305|PubMed:16503113}; Lipid-anchor, GPI-anchor {ECO:0000305|PubMed:16503113}.","ENST00000314754.12 [P08174-2];ENST00000367064.9 [P08174-1];ENST00000644836.1 [P08174-3];ENST00000645323.1 [P08174-5];",9.47659789775374e-07
"1954","CDV3",0.418460838351993,8.91082047095367,18.2649937745919,4.15178155782888e-05,"Q9UKY7","Q9UKY7","reviewed","CDV3_HUMAN","Protein CDV3 homolog","CDV3 H41","","CDV3","cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.","ENST00000264993.8 [Q9UKY7-1];ENST00000420115.6 [Q9UKY7-3];ENST00000431519.6 [Q9UKY7-2];",0.00191040565046827
"1960","CEBPB",0.536014484495313,5.24036465274136,15.0397585940977,0.000178727640851188,"P17676","P17676","reviewed","CEBPB_HUMAN","CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5)","CEBPB TCF5 PP9092","FUNCTION: Important transcription factor regulating the expression of genes involved in immune and inflammatory responses (PubMed:1741402, PubMed:9374525, PubMed:12048245, PubMed:18647749). Also plays a significant role in adipogenesis, as well as in the gluconeogenic pathway, liver regeneration, and hematopoiesis. The consensus recognition site is 5'-T[TG]NNGNAA[TG]-3'. Its functional capacity is governed by protein interactions and post-translational protein modifications. During early embryogenesis, plays essential and redundant roles with CEBPA. Has a promitotic effect on many cell types such as hepatocytes and adipocytes but has an antiproliferative effect on T-cells by repressing MYC expression, facilitating differentiation along the T-helper 2 lineage. Binds to regulatory regions of several acute-phase and cytokines genes and plays a role in the regulation of acute-phase reaction and inflammation. Also plays a role in intracellular bacteria killing (By similarity). During adipogenesis, is rapidly expressed and, after activation by phosphorylation, induces CEBPA and PPARG, which turn on the series of adipocyte genes that give rise to the adipocyte phenotype. The delayed transactivation of the CEBPA and PPARG genes by CEBPB appears necessary to allow mitotic clonal expansion and thereby progression of terminal differentiation (PubMed:20829347). Essential for female reproduction because of a critical role in ovarian follicle development (By similarity). Restricts osteoclastogenesis: together with NFE2L1; represses expression of DSPP during odontoblast differentiation (By similarity). {ECO:0000250|UniProtKB:P21272, ECO:0000250|UniProtKB:P28033, ECO:0000269|PubMed:12048245, ECO:0000269|PubMed:18647749, ECO:0000269|PubMed:20829347, ECO:0000269|PubMed:9374525, ECO:0000303|PubMed:25451943}.; FUNCTION: [Isoform 2]: Essential for gene expression induction in activated macrophages. Plays a major role in immune responses such as CD4(+) T-cell response, granuloma formation and endotoxin shock. Not essential for intracellular bacteria killing. {ECO:0000250|UniProtKB:P28033}.; FUNCTION: [Isoform 3]: Acts as a dominant negative through heterodimerization with isoform 2 (PubMed:11741938). Promotes osteoblast differentiation and osteoclastogenesis (By similarity). {ECO:0000250|UniProtKB:P21272, ECO:0000250|UniProtKB:P28033, ECO:0000269|PubMed:11741938}.","CEBPB","C/EBP complex [GO:1990647]; CHOP-C/EBP complex [GO:0036488]; chromatin [GO:0000785]; condensed chromosome, centromeric region [GO:0000779]; cytoplasm [GO:0005737]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; histone acetyltransferase binding [GO:0035035]; histone deacetylase binding [GO:0042826]; kinase binding [GO:0019900]; nuclear glucocorticoid receptor binding [GO:0035259]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; ubiquitin-like protein ligase binding [GO:0044389]; acute-phase response [GO:0006953]; brown fat cell differentiation [GO:0050873]; cellular response to amino acid stimulus [GO:0071230]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to organic cyclic compound [GO:0071407]; defense response to bacterium [GO:0042742]; embryonic placenta development [GO:0001892]; granuloma formation [GO:0002432]; hepatocyte proliferation [GO:0072574]; immune response [GO:0006955]; inflammatory response [GO:0006954]; integrated stress response signaling [GO:0140467]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; liver regeneration [GO:0097421]; mammary gland epithelial cell differentiation [GO:0060644]; mammary gland epithelial cell proliferation [GO:0033598]; memory [GO:0007613]; myeloid cell development [GO:0061515]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron differentiation [GO:0030182]; ovarian follicle development [GO:0001541]; positive regulation of biomineral tissue development [GO:0070169]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of sodium-dependent phosphate transport [GO:2000120]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; regulation of cell differentiation [GO:0045595]; regulation of dendritic cell differentiation [GO:2001198]; regulation of DNA-templated transcription [GO:0006355]; regulation of interleukin-6 production [GO:0032675]; regulation of odontoblast differentiation [GO:1901329]; regulation of osteoclast differentiation [GO:0045670]; regulation of transcription by RNA polymerase II [GO:0006357]; response to endoplasmic reticulum stress [GO:0034976]; T-helper 1 cell activation [GO:0035711]; transcription by RNA polymerase II [GO:0006366]","P18848; Q16520; Q86X55; P49715; P53567; P35638; P03372; PRO_0000317447 [P15941]; P04637; P03120; P03122; P06422; P06790; P63165","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20829347}. Cytoplasm {ECO:0000269|PubMed:9374525}. Note=Translocates to the nucleus when phosphorylated at Ser-288. In T-cells when sumoylated drawn to pericentric heterochromatin thereby allowing proliferation (By similarity). {ECO:0000250|UniProtKB:P28033, ECO:0000269|PubMed:9374525}.","ENST00000303004.5 [P17676-1];",0.0061580046721157
"1962","CEBPG",0.617110793173062,6.18592414588918,30.3759771212386,2.33437794224878e-07,"P53567","P53567","reviewed","CEBPG_HUMAN","CCAAT/enhancer-binding protein gamma (C/EBP gamma)","CEBPG","FUNCTION: Transcription factor that binds to the promoter and the enhancer regions of target genes. Binds to the enhancer element PRE-I (positive regulatory element-I) of the IL-4 gene (PubMed:7665092). Binds to the promoter and the enhancer of the immunoglobulin heavy chain. Binds to GPE1, a cis-acting element in the G-CSF gene promoter. {ECO:0000250|UniProtKB:P26801, ECO:0000250|UniProtKB:P53568, ECO:0000269|PubMed:7665092}.","CEBPG","chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; B cell differentiation [GO:0030183]; enucleate erythrocyte differentiation [GO:0043353]; immune response [GO:0006955]; integrated stress response signaling [GO:0140467]; liver development [GO:0001889]; mRNA metabolic process [GO:0016071]; natural killer cell mediated cytotoxicity [GO:0042267]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]","P15336; P18847; P18848; Q9Y2D1; Q16520; Q8N1L9; Q9NR55; P49715; P17676; P49716; Q15744; P35638; P35638-2; P01100; Q16236; O15212; P0C746","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P53568}.","ENST00000284000.9;ENST00000585933.2;ENST00000652630.1;",2.41540185389508e-05
"2078","CFAP97",0.58551659884568,6.15280588770777,28.7772515401316,4.4764565072273e-07,"Q9P2B7","Q9P2B7","reviewed","CFA97_HUMAN","Cilia- and flagella-associated protein 97","CFAP97 KIAA1430","","CFAP97","spermatogenesis [GO:0007283]","","","ENST00000458385.7 [Q9P2B7-1];ENST00000514798.1 [Q9P2B7-2];",4.14889021115342e-05
"2095","CHAC1",2.19654384934856,4.00859532712553,108.49914645985,7.68053759110725e-18,"Q9BUX1","Q9BUX1","reviewed","CHAC1_HUMAN","Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Blocks Notch protein) (Botch) (Cation transport regulator-like protein 1)","CHAC1 BOTCH","FUNCTION: Catalyzes the cleavage of glutathione into 5-oxo-L-proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides (PubMed:27913623). Glutathione depletion is an important factor for apoptosis initiation and execution. Acts as a pro-apoptotic component of the unfolded protein response pathway by mediating the pro-apoptotic effects of the ATF4-ATF3-DDIT3/CHOP cascade (PubMed:19109178). Negative regulator of Notch signaling pathway involved in embryonic neurogenesis: acts by inhibiting Notch cleavage by furin, maintaining Notch in an immature inactive form, thereby promoting neurogenesis in embryos (PubMed:22445366). {ECO:0000269|PubMed:19109178, ECO:0000269|PubMed:22445366, ECO:0000269|PubMed:27913623}.","CHAC1","cytoplasm [GO:0005737]; cytosol [GO:0005829]; trans-Golgi network [GO:0005802]; gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]; Notch binding [GO:0005112]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein processing [GO:0010955]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; response to unfolded protein [GO:0006986]","Q9BQY4","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19109178}. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:Q8R3J5}.","ENST00000444189.7 [Q9BUX1-2];ENST00000617768.5 [Q9BUX1-1];",5.77694588968052e-15
